CODIGO;DETERMINACIONES;Frecuencia
662495;Alfa 1 ANTITRIPSINA, CLEARENCE de (?1 AT - Clearence) - M.F. / sérica.;PE
662508;Alfa 1 GLUCOPROTEINA ACIDA (OROSOMUCOIDE);PE
662521;Alfa 2 ANTIPLASMINA;PE
662538;Alfa-BHC (?-HCH) - alfa-HEXACLORURO de BENCENO -  alfa-HEXACLORAN - alfa-LINDANO - ?-1,2,3,4,5,6-HEXACLOROCICLOHEXANO.;PE
662547;Alfa GALACTOSIDASA (Fabry);PE
662555;Alfa GLUCOSIDASA NEUTRA - semen;PE
662559;Alfa L IDURONIDASA;PE
662561;Alfa MANOSIDASA;PE
662563;Alfa NITROSO BETA NAFTOL, PRUEBA de;PE
662572;ALPRAZOLAM;PE
662587;ALUMINIO - pelo;PE
662589;ALUMINIO - sérico;PE
662591;ALUMINIO - urinario;PE
662598;AMETRYN;PE
662606;AMIKACINA;PE
662620;AMINOÁCIDOS - LCR (Cromatografía cuantitativa);PE
662623;AMINOÁCIDOS - sérico (Cromatografía cuantitativa);PE
662624;AMINOÁCIDOS - sangre seca en papel de filtro - SSPF (cuantitativo);PE
662627;AMINOÁCIDOS - urinarios (Cromatografía cuantitativa);PE
662630;AMINOÁCIDOS - urinarios (Cualitativo);PE
662649;AMONIO - urinario;PE
662657;ANAEROBIOS (Cultivo).;PE
662666;ANDROSTENEDIOL GLUCURÓNIDO (ALFA DIOL GLUCURONIDO);PE
662675;ANDROSTENEDIONA, Delta 4- (?4);PE
662688;ANFETAMINAS / METANFETAMINAS, confirmatorio;PE
662700;ANGELMAN, SÍNDROME de;PE
662704;ANION GAP;PE
662706;ANTIBIOGRAMA - AUTOMATIZADO ;PE
662709;ANTICOAGULANTE LÚPICO;PE
662712;ANTIDIURÉTICA, HORMONA (HAD) -VASOPRESINA;PE
662713;ANTIDIURÉTICA, HORMONA - urinaria (HAD u) - VASOPRESINA urinaria;PE
662717;ANTIGENOS BACTERIANOS, screening (Haemof..infl, Neis. mening., Strept. Pneum.) ;PE
662730;ANTÍGENO PROSTÁTICO ESPECÍFICO, COMPLEJADO (PSA c);PE
662734;ANTÍGENO PROSTÁTICO ESPECÍFICO, Libre+Total (PSA-L+T);PE
662739;ANTIGENOS - PANEL GINECOLÓGICO - PCR (Chamydia trachomatis / Mycoplasma  hominis / Mycoplasma genitalium / Ureaplasma urealyticum / Neisseria gonorrhoeae);PE
662743;ANTIGENOS VIRALES - PANEL de DIARREICOS - PCR ;PE
662745;ANTIGENOS VIRALES - PANEL de RESPIRATORIOS - BÁSICO;PE
662749;ANTIGENOS VIRALES - PANEL de RESPIRATORIOS  - PCR BÁSICO;PE
