codigo_c;PRESTACIONES ;valor;codigo;Nomenclador;Clasificación;Coseguro
340902;TOMOGRAFIA HIPOCICLOIDAL,POLIT.P/ESTUDIO;146803;340902;NN;ALTA;20000
340903;FISTULOGRAF,EST.COMPL-MIN.2PL.-P/ESTUDIO;146803;340903;NN;ALTA;20000
340904;DACRIOCISTOG.-MIN.3 PL.P/EST-S/HS.ESPEC.;146803;340904;NN;ALTA;20000
340905;RADIOGRAF.QUIROF.O HABIT..CUALQ.SEA EST.;146803;340905;NN;ALTA;20000
340906;RADIOG.QUIROF.O HABIT,EXPOS.SUBS.C/UNA;146803;340906;NN;ALTA;20000
340907;RADIOSC.QUIR.C/AMPLIF.IMAG.Y TV.P/ESTUD.;146803;340907;NN;ALTA;20000
340908;RADIOG.A DOMIC.-RAD.URB-CUALQ.FUERE EST.;146803;340908;NN;ALTA;20000
340909;RADIOG.A DOMIC-RAD.URB-EXPOS.SUBS.P/C/U.;146803;340909;NN;ALTA;20000
340920;MATERIAL DE CONTRASTE;146803;340920;NN;ALTA;20000
341001;T.A.C. CEREBRAL. I;146803;341001;NN;ALTA;20000
341002;T.A.C. CEREBRAL REFORZADA. I;146803;341002;NN;ALTA;20000
341003;T.A.C. CEREBRAL DE CONTROL. I;146803;341003;NN;ALTA;20000
341004;T.A.C. OFTALMOLOGICA. I;146803;341004;NN;ALTA;20000
341005;T.A.C. TIROIDEA. I;146803;341005;NN;ALTA;20000
341006;T.A.C. MAMARIA. I;146803;341006;NN;ALTA;20000
341007;T.A.C. GINECOLOGICA. I;146803;341007;NN;ALTA;20000
341008;T.A.C. COMPLETA DE ABDOMEN. I;146803;341008;NN;ALTA;20000
341009;T.A.C. HEPATOBILIAR,ESPL,PANCR,SUPRARR.;146803;341009;NN;ALTA;20000
341010;T.A.C. TORACICA;146803;341010;NN;ALTA;20000
341011;T.A.C. VEJIGA Y PROSTATA;146803;341011;NN;ALTA;20000
341012;T.A.C. DE OTROS ORGANOS O REGIONES;146803;341012;NN;ALTA;20000
341013;T.A.C. DE COLUMNA;146803;341013;NN;ALTA;20000
345734;ANGIOTCMS CON CONTRASTE 1 REGION;185100;346147;N OSMISS;ALTA;20000
345208;TCMS C/RECONS 3D SIN CONT 1RA REG;185100;346322;N OSMISS;ALTA;20000
342000;RMN 1RA REGIÓN;208078;346321;N OSMISS;ALTA;20000
345639;RMN REGIÓN SUBSIGUIENTE;153186;346256;N OSMISS;ALTA;20000
342037;ANGIO RMN;293607;346281;N OSMISS;ALTA;20000
345643;RMN 3D OIDO-COND AUDI A. RESOLUC;312755;346132;N OSMISS;ALTA;20000
345651;COLANGIORESONANCIA;497855;346308;N OSMISS;ALTA;20000
342050;URO/GINECO RESONANCIA SIN CTE;293607;346321;N OSMISS;ALTA;20000
