Practica Centro;Valor;COD NBU;Descripcion NBU;Similitud;Estado
Inhibidor tipo lúpico;78116,10;;;;No Encontrado
INMUNOBEADS DIRECTO;14877,26;;;;No Encontrado
INMUNOBEADS INDIRECTO;21557,77;;;;No Encontrado
Inmunoblot hcv;300773,69;;;;No Encontrado
INMUNOLOGIA MOCO-SUERO;27024,77;;;;No Encontrado
INMUNOLOGIA SEMEN SUERO;26994,74;;;;No Encontrado
Insulina Ac. Anti;54859,58;660543;INSULINA.;0.8729;Encontrado
Insulina Ac. Anti;54859,58;666862;INSULINA, Ac. Anti- (Ac. Anti- IAA);0.7638;Encontrado
INVESTIGACION DE PARASITOS;3945,93;;;;No Encontrado
Iodo azida prueba de;25131,40;666888;IODO-AZIDA Prueba de;1.0;Encontrado
Kptt con corrección de plasma;23281,69;;;;No Encontrado
L.c.r.: bacteriológico;7811,63;;;;No Encontrado
L.H. (POST L.H.R.H.);15599,71;;;;No Encontrado
Láctico ácido (plasmático);18145,14;662239;ÁCIDO LÁCTICO - urinario;0.6871;Encontrado
Láctico ácido (plasmático);18145,14;662236;ÁCIDO LÁCTICO - LCR;0.6521;Encontrado
Láctico ácido (plasmático);18145,14;660592;LÁCTICO, ÁCIDO ENZIMATICO.;0.5606;Encontrado
Láctico ácido (plasmático);18145,14;662119;ÁCIDO CÍTRICO - plasmático;0.5606;Encontrado
Láctico ácido (plasmático);18145,14;660593;LÁCTICO, ÁCIDO - materia fecal.;0.5482;Encontrado
Lamotrigina;60394,49;;;;No Encontrado
Legionella pneumophila;86481,13;666970;LEGIONELLA PNEUMOPHILA, Ag.;0.8981;Encontrado
Legionella pneumophila;86481,13;666956;LEGIONELLA PNEUMOPHILA, Ac. IgG Anti-;0.8707;Encontrado
Legionella pneumophila;86481,13;666958;LEGIONELLA PNEUMOPHILA, Ac. IgM Anti-;0.8687;Encontrado
Leptospiras anticuerpos;80209,23;;;;No Encontrado
Leucemia aguda tipificación;768276,42;;;;No Encontrado
LEUCEMIAS TIP.CITOQUIMICA y CITOGENETICA;265706,70;;;;No Encontrado
Leucocitos materia fecal;3035,58;666896;IONOGRAMA - materia fecal;0.5402;Encontrado
Leucocitos materia fecal;3035,58;669768;UROPORFIRINAS - materia fecal;0.5231;Encontrado
Leucocitos materia fecal;3035,58;660593;LÁCTICO, ÁCIDO - materia fecal.;0.5091;Encontrado
"Lipoproteína ""a""";44826,60;;;;No Encontrado
Listeria;5886,42;667242;LISTERIA - PCR;0.8651;Encontrado
Listeria;5886,42;667230;LISTERIA, CULTIVO;0.7974;Encontrado
Listeria;5886,42;667240;LISTERIA, Ac. IgM Anti-;0.7824;Encontrado
LKM Anticuerpo anti;29693,43;667262;LKM, Ac. Anti-;0.7396;Encontrado
Lorazepam;40566,12;;;;No Encontrado
M.H.T.P. - igm;51730,53;661075;HEPATITIS A, Ac. IgM Anti- (HAV IgM);0.6219;Encontrado
M.H.T.P. - igm;51730,53;661030;CITOMEGALOVIRUS, Ac. IgM Anti- (CMV-IgM);0.6029;Encontrado
M.H.T.P. - igm;51730,53;660541;INMUNOGLOBULINA M (IgM);0.5791;Encontrado
M.H.T.P. - igm;51730,53;665939;HEPATITIS C, Ac. Anti- IgM;0.5122;Encontrado
M.o.p.e.g.;28869,30;;;;No Encontrado
MANDELICO ACIDO;12714,99;;;;No Encontrado
Mar test;20111,25;;;;No Encontrado
Meta hemoglobina;15089,98;665828;HEMOGLOBINA S;0.5909;Encontrado
Metanefrinas;55365,17;667426;METANEFRINAS LIBRES - plasmáticas;0.5754;Encontrado
Metanefrinas;55365,17;660662;METANEFRINAS FRACCIONADAS URINARIAS;0.5522;Encontrado
Methotrexate;68189,14;;;;No Encontrado
METIL-BUTILCETONA;26488,58;;;;No Encontrado
Metilhipúrico ácido;25141,03;;;;No Encontrado
Micop.pneumoniae Ac. Anti (igg);22455,07;661140;MYCOPLASMA PNEUMONIAE Ac Anti-IgG;0.5787;Encontrado
Micop.pneumoniae Ac. Anti (igg);22455,07;661020;CHLAMYDIAS PNEUMONIAE, Ac. Anti- IgG;0.5688;Encontrado
