Practica Centro;Valor;COD NBU;Descripcion NBU;Similitud;Estado
Inmugenotipo en Medula Ósea;474632,82;;;;No Encontrado
Cariotipo;169069,15;663430;CARIOTIPO, con BANDEO;0.5523;Encontrado
Cariotipo;169069,15;663435;CARIOTIPO - líquido anmiótico;0.5372;Encontrado
Cariotipo;169069,15;663440;CARIOTIPO - material de aborto;0.5057;Encontrado
Dosaje de  Paracetamol;58640,95;;;;No Encontrado
PCREB PCR Epstein Baar En LCR;135166,42;;;;No Encontrado
PTGLR Proteinograma en LCR;23855,90;660765;PROTEINOGRAMA ELECTROFORÉTICO - LCR;0.5273;Encontrado
VEROTOXINA;45516,79;;;;No Encontrado
BCR/ABL;300756,54;;;;No Encontrado
Antic. Anti Sacaromices Creviseaee;0,00;;;;No Encontrado
CARNITINA EN SANGRE;64646,82;663463;CARNITINA, Libre y Total - urinario;0.5156;Encontrado
Aminoacido plasmático;78964,00;;;;No Encontrado
Latex Neunoc-Mening-Haemophilus;65356,88;;;;No Encontrado
GANGLIOSIDOS GQ1B;201123,18;;;;No Encontrado
Contrainmunoelectroforesis;154224,71;;;;No Encontrado
Pcr Enterovirus (PCREN);0,00;664691;ENTEROVIRUS - PCR;0.7234;Encontrado
PCR Mycoplasma   (PCRMY);143580,88;667736;MYCOPLASMA PNEUMONIAE - PCR;0.5352;Encontrado
Dosaje De Topiramato;93583,04;;;;No Encontrado
Cromogramina A;183766,81;;;;No Encontrado
INMUNOELECTROFORESIS EN LCR (IEFLR);21963,00;660535;INMUNOELECTROFORESIS.;0.568;Encontrado
HISTO.P TRANS MEDULA OSEA;755351,72;;;;No Encontrado
ACIDOS ORGANICOS URINARIOS(ACORG);116632,15;;;;No Encontrado
DENGUE IGG;53647,55;664361;DENGUE, Ac. Anti- IgG;0.8722;Encontrado
DENGUE IGG;53647,55;664369;DENGUE - PCR;0.7108;Encontrado
DENGUE IGG;53647,55;664363;DENGUE, Ac. Anti- IgM;0.6309;Encontrado
DENGUE IGG;53647,55;664365;DENGUE, Acs. Anti- IgG e IgM (Cualitativo);0.5544;Encontrado
DENGUE IGG;53647,55;664367;DENGUE, Ag. - ELISA;0.5505;Encontrado
DENGUE IGG;53647,55;664370;DENGUE - SEROTIPIFICACIÓN;0.5225;Encontrado
QUITOTREOXIDASA;195529,45;;;;No Encontrado
BNP (PEPTIDO NATRURETICO TIPO B);61730,74;;;;No Encontrado
CITRULINA (CITRU);48689,95;;;;No Encontrado
DENGUE PCR;68718,03;664369;DENGUE - PCR;1.0;Encontrado
DENGUE PCR;68718,03;664361;DENGUE, Ac. Anti- IgG;0.62;Encontrado
DENGUE PCR;68718,03;664363;DENGUE, Ac. Anti- IgM;0.6173;Encontrado
DENGUE PCR;68718,03;664367;DENGUE, Ag. - ELISA;0.5386;Encontrado
DENGUE PCR;68718,03;664370;DENGUE - SEROTIPIFICACIÓN;0.5113;Encontrado
AC ANTI NEURONALES (ACNEP);118612,17;;;;No Encontrado
ITRACONAZOL;81192,17;;;;No Encontrado
BANDAS OLIGOCLONALES - BOLIG;221738,23;662863;BANDAS OLIGOCLONALES, en L.C.R. / Suero;0.6855;Encontrado
VISCOCIDAD SANGUINEA (VISAN);15374,24;;;;No Encontrado
TEST DE AVIDEZ PARA TOXOPLASMOSIS;51836,68;669575;TOXOPLASMOSIS, Ac. IgG Anti- (Test de avidez);0.8018;Encontrado
ANTI GD1A;164149,59;;;;No Encontrado
PCR PML-RARA  EN MÉDULA ÓSEA Y EN SANGRE PERIFÉRICA;282731,20;;;;No Encontrado
JACK-2 (MARCADOR DE MIELODISPLASIA);253231,93;;;;No Encontrado
ELASTASA PANCREATICA EN MATERIA FECAL;94663,21;;;;No Encontrado
PORFIRINAS EN MATERIA FECAL;36421,13;660188;COPROPORFIRINAS o PORFIRINAS - materia fecal;0.7662;Encontrado
PORFIRINAS EN MATERIA FECAL;36421,13;660736;PARASITOLOGICO en MATERIA FECAL.;0.5914;Encontrado
PORFIRINAS EN MATERIA FECAL;36421,13;666896;IONOGRAMA - materia fecal;0.5328;Encontrado
PORFIRINAS EN MATERIA FECAL;36421,13;669768;UROPORFIRINAS - materia fecal;0.516;Encontrado
PORFIRINAS EN MATERIA FECAL;36421,13;660593;LÁCTICO, ÁCIDO - materia fecal.;0.5022;Encontrado
DELTA 508;111973,56;664350;"Delta-BHC (?-HCH) - delta-HEXACLORURO de BENCENO
- delta-HEXACLORAN - delta-LINDANO - delta- 1,2,3,4,5,6-HEXACLOROCICLOHEXANO.";0.5235;Encontrado
Parathormona Rapida Intraoperatoria;141771,54;;;;No Encontrado
FIBROTEST O FIBROMAX;389236,86;;;;No Encontrado
AC.BILIARES;43583,87;662367;ÁCIDOS BILIARES - séricos.;0.5512;Encontrado
INFLUENZA H1 N1 - PCR REAL TIME;132042,68;;;;No Encontrado
G6 PDH;58630,73;;;;No Encontrado
PARVOVIRUS PCR;163377,95;668241;PARVOVIRUS B19 - PCR;0.7341;Encontrado
PARVOVIRUS PCR;163377,95;668229;PARVOVIRUS, Ac. IgG Anti-;0.658;Encontrado
PARVOVIRUS PCR;163377,95;668238;PARVOVIRUS, Ac. IgM Anti-;0.6554;Encontrado
TEST DE RIESGO FETAL;122268,80;;;;No Encontrado
PRM-RARA (PCR);119954,59;;;;No Encontrado
CITOMEGALOVIRUS EN LCR;199107,04;;;;No Encontrado
VARICELA EN LCR;76428,62;;;;No Encontrado
RAPAMICINA;85710,97;;;;No Encontrado
INHIBIDOR DEL ACT PL;101881,40;;;;No Encontrado
TPHA (SILIFILIS);24558,34;;;;No Encontrado
BORDETELLA PERTUSSI Y PARAPERTUSSI ADN CUALITATIVO SECR RESPIRATORIA;66972,29;;;;No Encontrado
TRANSLOCACION T (8,21) AML-LTO;274675,26;;;;No Encontrado
TRANSLOCACION T (4,11) MLL-AF4;219174,20;;;;No Encontrado
MYCOPLASMA PNEUMONIAE PCR;117770,69;667736;MYCOPLASMA PNEUMONIAE - PCR;1.0;Encontrado
MYCOPLASMA PNEUMONIAE PCR;117770,69;667734;MYCOPLASMA PNEUMONIAE, cultivo;0.7631;Encontrado
MYCOPLASMA PNEUMONIAE PCR;117770,69;661140;MYCOPLASMA PNEUMONIAE Ac Anti-IgG;0.7541;Encontrado
MYCOPLASMA PNEUMONIAE PCR;117770,69;667717;MYCOPLASMA PNEUMONIAE, Ac. IgM Anti-;0.7519;Encontrado
MYCOPLASMA PNEUMONIAE PCR;117770,69;667725;MYCOPLASMA PNEUMONIAE, ANTÍGENO (Ag);0.6845;Encontrado
MYCOPLASMA PNEUMONIAE PCR;117770,69;663591;CHLAMYDIA PNEUMONIAE - PCR;0.5844;Encontrado
MYCOPLASMA PNEUMONIAE PCR;117770,69;669170;STREPTOCOCCUS PNEUMONIAE - PCR;0.5634;Encontrado
HIV GENOTIPIFICACION;264785,47;;;;No Encontrado
ENTOAMEBA HISTOLITICA IGG;35736,06;;;;No Encontrado
NPM1 - MUTACIONES EN EL GEN DE LA NUCLEOFOSMINA;535610,48;;;;No Encontrado
FLT3 ANALISIS DE MUTACIONES EN EL GEN FLT3;164277,58;;;;No Encontrado
CITOMETRIA DE FLUJO EN SANGRE PERIFERICA O MEDULA OSEA O LIQUIDOS BIOLOGICOS O LCR;478722,92;;;;No Encontrado
HLAB 5701;185654,32;;;;No Encontrado
LEVETIRACETAM;58429,95;;;;No Encontrado
ZIKA;68398,33;669978;ZIKA, virus (PCR);0.733;Encontrado
CHIKUNGUNYA;62794,65;663582;CHIKUNGUNYA , virus (PCR);0.7459;Encontrado
METAPNEUMOVIRUS ARN;72375,25;;;;No Encontrado
DENGUE - ZIKA - CHIKUNGUYA (PCR) (EPIX3);146358,02;;;;No Encontrado
CRYPTOSPORIDIUM SP, COLORACION DE KINYOUN, MATERIA FECAL;11108,82;664256;CRYPTOSPORIDIUM Sp,;0.5892;Encontrado
IONOGRAMA EN MAT.FEC;23371,20;;;;No Encontrado
LPA;28155,42;;;;No Encontrado
CHE ERITROCITARIA;15561,81;;;;No Encontrado
KAPPA Y LAMBDA EN SA;13129,45;;;;No Encontrado
PCR HIV;163982,06;666264;HIV - PCR Cualitativo;0.76;Encontrado
PCR HIV;163982,06;666278;HIV - P-24 - HIV 1 y 2 (Combo);0.6181;Encontrado
CLOZAPINA;21804,77;;;;No Encontrado
NEROP - AC ANTI AC NEURONAL PANEL (INMDA, IAMP1, IAMP2, ICASP, ILGI, IGABA);305502,88;;;;No Encontrado
CARIOTIPO CON BANDEO DE ALTA RESOLUCIÓN- CARAC;159035,48;663427;CARIOTIPO con BANDEO - Alta Resolución (Alta Sensibilidad);0.7929;Encontrado
CARIOTIPO CON BANDEO DE ALTA RESOLUCIÓN- CARAC;159035,48;663430;CARIOTIPO, con BANDEO;0.6442;Encontrado
SARAMPION (PCR);47728,43;668982;SARAMPION, Ac. IgG Anti-;0.6926;Encontrado
SARAMPION (PCR);47728,43;668990;SARAMPION, Ac. IgM Anti-;0.6901;Encontrado
GLUTATION PEROXIDASA - GPERO;47786,29;;;;No Encontrado
LEPTINA;38424,52;666982;LEPTINA;1.0;Encontrado
ACIDO PIRUVICO;14062,22;662316;ÁCIDO PIRUVICO - sérico;0.553;Encontrado
CADMIO EN SANGRE;67767,79;660132;CADMIO (Cd) - urinario.;0.5908;Encontrado
CADMIO EN SANGRE;67767,79;663262;CADMIO (Cd) - pelo;0.533;Encontrado
NIQUEL EN SANGRE;10897,90;;;;No Encontrado
ANTICUERPO ANTIFACTOR IV PLAQUETARIO - FP4;193392,27;;;;No Encontrado
ACS ANTI GANGLIOSIDOS ASIALO GM1;173001,98;665529;GANGLIOSIDO ASIALO GM1, Ac. Anti-;0.5777;Encontrado
ANTI RI (ANNA2);52876,52;;;;No Encontrado
PNEUMOCISITIS CARINI PCR;119430,21;;;;No Encontrado
SENSIBILIDAD DE MICOBACTERIAS;148833,44;;;;No Encontrado
BUSQUEDA DE ENTEROCOCOS VANCOMICINA RESISTENTE (EVR);8642,20;664682;ENTEROCOCOS VANCOMICINA RESISTENTE - PCR;0.7093;Encontrado
COLORACION PARA ISOSPORA;361742,19;;;;No Encontrado
BUSQUEDA DE BACTERIA PRODUCTORA DE KPC;16165,13;;;;No Encontrado
PNEUMOCYSTIS JIROVECCI;32504,68;;;;No Encontrado
BUSQUEDA DE STAPHYLOCOCCUS AUREUS METICILINO RESISTENTE (SAMR);8488,34;669129;"STAPHYLOCOCCUS AUREUS METICILINO RESISTENTE -
PCR o similar";0.7003;Encontrado
SENSIBILIDAD DE LEVADURAS;126653,94;667059;LEVADURAS SENSIBILIDAD - SCREENING;0.7892;Encontrado
SENSIBILIDAD DE LEVADURAS;126653,94;667064;LEVADURAS TIPIFICACIÓN;0.5121;Encontrado
TIPIFICACIÓN DE HONGOS FILAMENTOSOS;138031,17;;;;No Encontrado
TIPIFICACION DE MICOBACTERIAS;147853,71;;;;No Encontrado
TIPIFICACIÓN DE LEVADURAS;148192,88;667064;LEVADURAS TIPIFICACIÓN;0.9505;Encontrado
SENSIBILIDAD DE HONGOS FILAMENTOSOS;85032,12;;;;No Encontrado
BUSQUEDA DE GONOCOCO EN HISOPADO DE FAUCES;59105,82;;;;No Encontrado
BUSQUEDA DE GONOCOCO EN HIS RECTAL;58967,78;;;;No Encontrado
BUSQUEDA DE VIBRIO CHOLERAE;359741,22;663657;CHOLERAE VIBRIO, CULTIVO;0.7405;Encontrado
BUSQUEDA DE E.COLI O157H7;69251,58;;;;No Encontrado
VARICELA ZOSTER PCR;193334,17;669834;VARICELA ZOSTER - DNA (PCR);0.8525;Encontrado
VARICELA ZOSTER PCR;193334,17;669828;VARICELA ZOSTER, Ag.;0.8051;Encontrado
VARICELA ZOSTER PCR;193334,17;669819;VARICELA ZOSTER, Ac. IgG Anti-;0.7773;Encontrado
VARICELA ZOSTER PCR;193334,17;669810;VARICELA ZOSTER, Ac. IgM Anti-;0.7752;Encontrado
PROCALCITONINA;99292,06;;;;No Encontrado
PROTEINAS 3 ANTICUERPOS PR3;140434,10;;;;No Encontrado
MACROAMILASEMIA;43545,72;;;;No Encontrado
ANTIGENO PARA LEGIONELLA EN ORINA;46458,53;;;;No Encontrado
EXTASIS DOSAJE;14156,48;;;;No Encontrado
CHLAMYDIA TRACHOMATIS AG IF;22365,16;663640;CHLAMYDIA TRACHOMATIS, Ag.;0.7853;Encontrado
CHLAMYDIA TRACHOMATIS AG IF;22365,16;663649;CHLAMYDIA TRACHOMATIS, Ag. PCR;0.7224;Encontrado
CHLAMYDIA TRACHOMATIS AG IF;22365,16;663651;CHLAMYDIA TRACHOMATIS - LCR;0.5796;Encontrado
CHLAMYDIA TRACHOMATIS AG IF;22365,16;663623;CHLAMYDIA TRACHOMATIS, Ac. IgG Anti-;0.5639;Encontrado
CHLAMYDIA TRACHOMATIS AG IF;22365,16;663632;CHLAMYDIA TRACHOMATIS, Ac. IgM Anti-;0.5622;Encontrado
IGG EN LCR;9339,84;668221;PAROTIDITIS, Ag. en LCR;0.5348;Encontrado
IGG EN LCR;9339,84;666648;IgG - LCR - INMUNOGLOBULINA G en Líquido Céfalo Raquídeo.;0.5006;Encontrado
VIRUS DEL NILO LCR X PCR;45853,54;;;;No Encontrado
ADRENALINA URINARIA;7142,92;660010;ADRENALINA, urinaria  (CATECOLAMINA urinaria);0.8227;Encontrado
NORADRENALINA URINARIA;6284,51;660696;NORADRENALINA, urinaria  - CATECOLAMINA;0.7841;Encontrado
NORADRENALINA URINARIA;6284,51;660695;NORADRENALINA, sérica - CATECOLAMINA;0.5276;Encontrado
PAI POLIMORFISMO;53758,33;;;;No Encontrado
MTHFR A 1298C;58140,49;;;;No Encontrado
MTHRF 12 CORREGIR DESC (MTHFR 12);27343,25;;;;No Encontrado
HORMONA ANTIDIURETICA;78661,07;;;;No Encontrado
HELICOBATER PYLORI CULTIVO;133691,38;;;;No Encontrado
ANTI MUSK;311383,79;667636;MuSK, Ac. Anti-;0.9413;Encontrado
ANTICUERPOS ANTI ADRENAL;106649,63;662452;ADRENAL, Ac. Totales Anti-;0.6383;Encontrado
ANTICUERPOS ANTI ADRENAL;106649,63;664002;CORTEX ADRENAL, Ac. ANTI- (A.A.C.A);0.5502;Encontrado
FUROSEMIDA;93281,72;;;;No Encontrado
DEAMINADOS DE GLIADINA EN IGG ( ACDGG);31464,85;;;;No Encontrado
DEAMINADOS DE GLIADINA EN IGA ( ACDGA);31967,32;;;;No Encontrado
ACIDO LACTICO EN LCR;18448,30;;;;No Encontrado
MARIHUANA;21640,82;;;;No Encontrado
UREAPLASMA CULTIVO;34168,92;667700;MYCOPLASMA - UREAPLASMA, CULTIVO;0.8152;Encontrado
UREAPLASMA CULTIVO;34168,92;669759;UREAPLASMA UREALÍTICUM (Cultivo).;0.7376;Encontrado
UREAPLASMA CULTIVO;34168,92;667691;MYCOPLASMA - UREAPLASMA, Ac. Anti-;0.5374;Encontrado
PAI FUNCIONAL;79336,54;;;;No Encontrado
CITOMEGALOVIRUS ADN CUANT PCR;176997,69;;;;No Encontrado
ELECTROINMUNOFIJACION ORINA;41171,86;;;;No Encontrado
ELECTROINMUNOFIJACION SUERO;54234,00;;;;No Encontrado
ACUAPORINA 4 ,AQP4 (SUERO O LCR);209580,65;;;;No Encontrado
ICA -512 (AC.ANTI IA2);70380,49;;;;No Encontrado
ABLR - AG. BACTERIANOS EN LCR;66811,64;;;;No Encontrado
HEMOGLOBINA PAROXISTICA NNOVURNA;150022,39;;;;No Encontrado
ANTI MOG;147693,94;;;;No Encontrado
ACILCARNITINA;145468,97;;;;No Encontrado
SANGRE OCULTA EN MF INMUNOLOGICO (SOMFI);18628,33;;;;No Encontrado
CORONAVIRUS PCR;105644,84;;;;No Encontrado
INFLUENZA B;116500,17;666734;INFLUENZA A, Ac. IgG Anti-;0.735;Encontrado
INFLUENZA B;116500,17;666751;INFLUENZA B, Ac. IgG Anti-;0.735;Encontrado
INFLUENZA B;116500,17;666742;INFLUENZA A, Ac. IgM Anti-;0.7317;Encontrado
INFLUENZA B;116500,17;666760;INFLUENZA B, Ac. IgM Anti-;0.7317;Encontrado
INFLUENZA B;116500,17;666725;INFLUENZA A, ANTÍGENO (Ag.);0.6379;Encontrado
INFLUENZA B;116500,17;666768;INFLUENZA B, ANTÍGENO (Ag.);0.6379;Encontrado
INFLUENZA B;116500,17;665685;HAEMOPHILUS INFLUENZA, Ac. IgG Anti-;0.5634;Encontrado
INFLUENZA B;116500,17;665687;HAEMOPHILUS INFLUENZA, Ac. IgM Anti-;0.5619;Encontrado
COVID 19 AG (TEST RÁPIDO) SARS-COV-2 ANTIGEMIA;53207,05;663970;CORONAVIRUS (COVID-19) - SARS-CoV-2 - Ac. Anti- IgG;0.598;Encontrado
COVID 19 AG (TEST RÁPIDO) SARS-COV-2 ANTIGEMIA;53207,05;663971;CORONAVIRUS (COVID-19) - SARS-CoV-2 - Ac. Anti- IgM;0.5973;Encontrado
COVID 19 AG (TEST RÁPIDO) SARS-COV-2 ANTIGEMIA;53207,05;663972;CORONAVIRUS (COVID-19) - SARS-CoV-2 - Ac. Totales;0.5901;Encontrado
COVID 19 AG (TEST RÁPIDO) SARS-COV-2 ANTIGEMIA;53207,05;663969;CORONAVIRUS (COVID-19) - SARS-CoV-2 - Ac. Anti- IgA;0.5826;Encontrado
COVID 19 AG (TEST RÁPIDO) SARS-COV-2 ANTIGEMIA;53207,05;663978;CORONAVIRUS (COVID-19) - SARS-CoV-2 – RT-PCR;0.5465;Encontrado
PANEL VIRAL MOLECULAR;98846,62;;;;No Encontrado
ENVASADO Y TRASLADO DE MUESTRAS RIESGO BIOLÓGICO;59880,18;;;;No Encontrado
DENGUE ANTIGENO NS1 (TEST RÁPIDO);33139,20;;;;No Encontrado
PCR VIRUELA SIMICA;106747,34;;;;No Encontrado
FISH 1 REARREGLO;343170,79;668783;REARREGLO DEL IGH/MAF, Estudio para (FISH);0.5235;Encontrado
FISH 1 REARREGLO;343170,79;668780;REARREGLO DEL IGH/FGFR3, Estudio para (FISH);0.5235;Encontrado
GALACTOMANANO EN BAL;177518,17;;;;No Encontrado
FISH POR REARREGLO SUBSIGUIENTE (CADA UNO);259510,35;;;;No Encontrado
ANTI DNA DESNATURALIZADO;254345,68;664469;DNA, DESNATURALIZADO, Ac. Anti -;0.9614;Encontrado
VORICONAZOL;67988,25;;;;No Encontrado
MIOGLOBINA EN ORINA;188236,74;667546;MIOGLOBINA - sérica;0.654;Encontrado
MIOGLOBINA EN ORINA;188236,74;667550;MIOGLOBINA - urinaria;0.6442;Encontrado
PANEL ONCONEURONAL (0627);121016,28;;;;No Encontrado
PANEL DE ENCEFALITIS (AMPA, NMDA, D de K) SUERO;188943,95;;;;No Encontrado
MYCOBACTERIAS ATIPICAS (PCR);79839,57;;;;No Encontrado
CHLAMYDIA TRACHOMATIS (PCR);273788,21;663649;CHLAMYDIA TRACHOMATIS, Ag. PCR;0.8867;Encontrado
CHLAMYDIA TRACHOMATIS (PCR);273788,21;663640;CHLAMYDIA TRACHOMATIS, Ag.;0.7754;Encontrado
CHLAMYDIA TRACHOMATIS (PCR);273788,21;663651;CHLAMYDIA TRACHOMATIS - LCR;0.7657;Encontrado
CHLAMYDIA TRACHOMATIS (PCR);273788,21;663623;CHLAMYDIA TRACHOMATIS, Ac. IgG Anti-;0.7449;Encontrado
CHLAMYDIA TRACHOMATIS (PCR);273788,21;663632;CHLAMYDIA TRACHOMATIS, Ac. IgM Anti-;0.7427;Encontrado
CHLAMYDIA TRACHOMATIS (PCR);273788,21;663591;CHLAMYDIA PNEUMONIAE - PCR;0.5961;Encontrado
CHLAMYDIA TRACHOMATIS (PCR);273788,21;663650;CHLAMYDIA TRACHOMATIS, cultivo celular;0.5867;Encontrado
CHLAMYDIA TRACHOMATIS (PCR);273788,21;663609;CHLAMYDIA PSITACCI - PCR;0.5391;Encontrado
TRASLOCACION 12.21 REARREGLO TEL/AML1 CUALITATIVA;272065,62;;;;No Encontrado
PNEUMOCISTIS PARA MICOBACTERIA TUBERCULOSIS CON SENSIBIDAD A ISOMASINA Y RIFAMPICINA;116764,73;;;;No Encontrado
ANTICUERPOS ANTI NMDA EN LCR;548072,99;667840;NMDA, Ac.  IgG Anti- RECEPTOR - LCR;0.6033;Encontrado
TRASLOCACION CROMOSOMICA T(1:19) EZA - PBX1;220359,08;;;;No Encontrado
MPL MUTACION EXON 10 (W15) SANGRE PERIFERICA;142215,44;;;;No Encontrado
ADAMTS13;449101,39;;;;No Encontrado
FILMARRAY;349499,32;;;;No Encontrado
RECEPTORES DE GLUTAMATO IGG;431137,33;;;;No Encontrado
TRANSLOCACIÓN T (9:22) BCR ABL CUALI;102320,44;;;;No Encontrado
INMUNOGLOBULINA IGG SUBCLASE 1 – IGGSC1;63107,29;660540;INMUNOGLOBULINA G (IgG);0.5337;Encontrado
INMUNOGLOBULINA IGG SUBCLASE 2 – IGGSC2;63107,29;660540;INMUNOGLOBULINA G (IgG);0.5337;Encontrado
INMUNOGLOBULINA IGG SUBCLASE 3 – IGGSC3;63107,29;660540;INMUNOGLOBULINA G (IgG);0.5337;Encontrado
INMUNOGLOBULINA IGG SUBCLASE 4 – IGGSC4;63107,29;660540;INMUNOGLOBULINA G (IgG);0.5337;Encontrado
