codigo_c;PRESTACIONES ;valor;codigo;Nomenclador;Clasificación;Coseguro
660351;FLUORURIA;9140;660351;NBU;BAJA;10000
660352;FOLICO, ACIDO;10054;660352;NBU;BAJA;10000
660353;FONDO OSCURO;3656;660353;NBU;BAJA;10000
660354;FORMULA LEUCOCITARIA;1371;660354;NBU;BAJA;10000
660355;FOSFATASA ACIDA PROSTATICA (EFM);4570;660355;NBU;BAJA;10000
660356;FOSFATASA ACIDA TOTAL (EFM);2742;660356;NBU;BAJA;10000
660357;FOSFATASA ALCALINA (FAL);1371;660357;NBU;BAJA;10000
660360;FOSFATASA ALCALINA TERMOESTABLE;13710;660360;NBU;BAJA;10000
660361;FOSFATASA ALCALINA - ISOENZIMAS;13710;660361;NBU;BAJA;10000
660362;FOSFATEMIA (P);1371;660362;NBU;BAJA;10000
660363;FOSFATURIA (P);1371;660363;NBU;BAJA;10000
660366;FOSFORO CLEARENCE DEPURACION;2742;660366;NBU;BAJA;10000
660370;FSH - HORMONA FOLICULO ESTIMULANTE;9140;660370;NBU;BAJA;10000
660371;FTA/ ABS (IFI - ELISA) SIFILIS Y TPHA;7312;660371;NBU;BAJA;10000
660373;FUNCIONAL, EXAMEN DE MATERIA FECAL - BASICO;27420;660373;NBU;BAJA;10000
660402;GALACTOSEMIA;7312;660402;NBU;BAJA;10000
660404;GASES EN SANGRE, PCO2 Y PO2;9140;660404;NBU;BAJA;10000
660405;GASTRINA, SERICA;13710;660405;NBU;BAJA;10000
660408;"GLOBULOS BLANCOS, RECUENTO Y FORMULA -
MATERIA FECAL";2742;660408;NBU;BAJA;10000
660409;GLOBULOS BLANCOS, RECUENTO DE;914;660409;NBU;BAJA;10000
660410;GLOBULOS ROJOS, RECUENTO DE;914;660410;NBU;BAJA;10000
660411;GLUCAGON;0;660411;NBU;BAJA;10000
660412;GLUCEMIA (C/U);1371;660412;NBU;BAJA;10000
660413;"GLUCEMIA, PRUEBA DE SOBRECARGA (X 2 - DOS
DETERMINACIONES)";4113;660413;NBU;BAJA;10000
660416;GLUCOPROTEINOGRAMA;0;660416;NBU;BAJA;10000
660417;GLUCOSA EN ORINA (C/U);1371;660417;NBU;BAJA;10000
660418;GLUCOSA 6-FOSFATO ISOMERASA;11882;660418;NBU;BAJA;10000
660420;GLUTAMIL TRANSPEPTIDASA. GAMMA-;2285;660420;NBU;BAJA;10000
660430;GRAHAM, TEST DE;2742;660430;NBU;BAJA;10000
660432;GRASAS, CUANTITATIVO (VAN DE KAMER) - MATERIA FECAL;13710;660432;NBU;BAJA;10000
660433;GRUPO SANGUINEO Y FACTOR RHO - DU / Dµ;4570;660433;NBU;BAJA;10000
660463;HAPTOGLOBINA;8226;660463;NBU;BAJA;10000
660464;HEINZ, CUERPOS DE (TINCION);2742;660464;NBU;BAJA;10000
660465;HEMATIES, RESISTENCIA GLOBULAR OSMOTICA (CURVA DE FRAGILIDAD OSMOTICA DE ERITROCITOS);9140;660465;NBU;BAJA;10000
660466;HEMATOCRITO;914;660466;NBU;BAJA;10000
660468;HEMOCULTIVO AEROBIOS (C/U);18280;660468;NBU;BAJA;10000
660470;HEMOGLOBINA, DOSAJE DE (HB);914;660470;NBU;BAJA;10000
660471;HEMOGLOBINA, ELECTROFORESIS;10054;660471;NBU;BAJA;10000
660472;HEMOGLOBINA - PLASMATICA;3656;660472;NBU;BAJA;10000
660475;HEMOGRAMA;4570;660475;NBU;BAJA;10000
660479;HEMOSIDERINA - URINARIA;8226;660479;NBU;BAJA;10000
660480;HEPARINA, RESISTENCIA A LA (IN VITRO);13710;660480;NBU;BAJA;10000
660481;HEPATOGRAMA;5484;660481;NBU;BAJA;10000
660483;HIDATIDOSIS (HAI);11882;660483;NBU;BAJA;10000
660484;HIDATIDOSIS, AC. IGG O TOTALES ANTI- (IFI);13710;660484;NBU;BAJA;10000
660487;HIDROXINDOLACETICO, ACIDO;9140;660487;NBU;BAJA;10000
660488;HIDROXIPROLINA - URINARIA;10968;660488;NBU;BAJA;10000
660489;HIPERHEPARINEMIA;0;660489;NBU;BAJA;10000
660494;HUDDLESSON, REACCION DE (ROSA DE BENGALA - BRUCELOSIS);1828;660494;NBU;BAJA;10000
660531;MYCOBACTERIUM, IDENTIFICACION;18280;660531;NBU;BAJA;10000
660532;IDENTIFICACION SEROLOGICA DE GERMENES;9140;660532;NBU;BAJA;10000
660535;INMUNOELECTROFORESIS;9140;660535;NBU;BAJA;10000
660536;INMUNOELECTROFORESIS LIQUIDOS BIOLOGICOS;148068;660536;NBU;BAJA;10000
660537;INMUNOGLOBULINA A (IGA);4570;660537;NBU;BAJA;10000
660538;INMUNOGLOBULINA D (IGD);159950;660538;NBU;BAJA;10000
660539;INMUNOGLOBULINA E (IGE);9140;660539;NBU;BAJA;10000
660540;INMUNOGLOBULINA G (IGG);4570;660540;NBU;BAJA;10000
660541;INMUNOGLOBULINA M (IGM);4570;660541;NBU;BAJA;10000
660543;INSULINA;10054;660543;NBU;BAJA;10000
660546;IONOGRAMA - SERICO;3199;660546;NBU;BAJA;10000
660547;IONOGRAMA - URINARIO;3199;660547;NBU;BAJA;10000
660548;ISOCITRICO DEHIDROGENASA;0;660548;NBU;BAJA;10000
660591;LACTAMINICO, ACIDO;0;660591;NBU;BAJA;10000
660592;LACTICO, ACIDO ENZIMATICO;9140;660592;NBU;BAJA;10000
660593;LACTICO, ACIDO - MATERIA FECAL;9140;660593;NBU;BAJA;10000
660594;LACTICO DEHIDROGENASA - LDH;2742;660594;NBU;BAJA;10000
660596;"LACTICO DEHIDROGENASA ISOENZIMAS - LDH
ISOENZIMAS";5484;660596;NBU;BAJA;10000
660597;LACTOGENO PLACENTARIO / SOMATOMAMOTROFINA;18280;660597;NBU;BAJA;10000
660598;FACTOR REUMATOIDEO - ARTRITIS REUMATOIDE;5484;660598;NBU;BAJA;10000
660600;LEPTOSPIRAS, INVESTIGACION DE (FONDO OSCURO O COLORACIONES) - URINARIA;10968;660600;NBU;BAJA;10000
660602;TRICHINOSIS, INVESTIGACION DE;27420;660602;NBU;BAJA;10000
660603;LAZO, PRUEBA DEL;914;660603;NBU;BAJA;10000
660606;LEUCINAMINOPEPTIDASA (LAP);9140;660606;NBU;BAJA;10000
660610;LEVULINICO, ACIDO DELTA-AMINO;9140;660610;NBU;BAJA;10000
660611;LEVULINICO, DELTA DEHIDRATASA;9140;660611;NBU;BAJA;10000
660612;LH - HORMONA LUTEINIZANTE;9140;660612;NBU;BAJA;10000
660613;LIPASA, SERICA;10968;660613;NBU;BAJA;10000
660615;LIPIDOGRAMA (ELECTROFORETICO);11882;660615;NBU;BAJA;10000
660619;LIQUIDO CEFALORRAQUIDEO, FCO-QCO - CITOLOGICO;13710;660619;NBU;BAJA;10000
660620;LIQUIDO DE PUNCION, EXAMEN FCO-QCO - CITOLOGICO;13710;660620;NBU;BAJA;10000
660622;LISTERIAS, AC. ANTI - (IFI - ELISA);8226;660622;NBU;BAJA;10000
660623;LITIO (LI) (ISE - ION SELECTIVO - FOTOMETRIA DE LLAMA O FOTOMETRIA DE EMISION);5484;660623;NBU;BAJA;10000
660624;LITIO (LI) (POR ABSORCION ATOMICA - A.A.);18280;660624;NBU;BAJA;10000
660653;MAGNESIO (MG) - SERICO;2285;660653;NBU;BAJA;10000
