CODIGO;Descripción
080205;HERNIOPLASTIA BILATERAL
080206;EVENTRACION HERNIA RECIDI
080207;CIERRE D/PARED ABDOM.P/EV
080208;LAPARATOMIA EXPLORADORA
080209;ENTEROLISIS
080210;LAPARASCOPIA C/LUZ FRIA
080211;LAPARASCOPIA CONVENCIONAL
080212;PERITONEOCENTESIS EVACUAD
080213;ESCISION D/TUMOR RETROPER
080214;DRENAJE DE ABSCESO SUBFRE
080301;GASTRECTOMIA TOTAL
080302;GASTRECTOMIA SUBT.O REGAS
080303;GASTROTOMIA-EXTRAC.CUERP.
080304;GASTROSTOMIA
080305;GASTRORRAFIA-ULCERA GASTR
080306;GASTRODUODENOSTOMIA
080307;VAGOTOMIA C/PILOROPLASTIA
080308;PILOROMIOTOMIA-PILOROPLAS
080309;CIERRE O ELIMINAC.D/GASTR
080310;CIERRE DE FISTULA GASTROC
080311;CIERRE D/GASTROSTOMIA U F
080401;ENTERECTOMIA DE YEYUNO O
080402;ESCIS.DIVERTICULO DE MECK
080403;ENTEROTOMIA ESTEROSTOMIA
080404;DERIVAC.INTESTIN.INTERNAS
080405;OPERAC.PLASTICA E/ILEOSTO
080406;PLICARURA DE INTESTINO DE
080501;COLECTOMIA TOTAL
080502;COLECTOMIA TOTAL S/RECTO
080503;HEMICOLECTOMIA DER O IZQ.
080504;COLECTOMIA SEGMENTARIA
080505;RESECCION ANTERIOR
080506;OPERAC.RADICALES P/MEGACO
080507;OPER.RADICALES P/MEGACOLO
080508;COLON PROTECTOMIA TOTAL
080509;PROCTOSIGMOIDECTOMIA ABDO
080510;PROCTOSIGMOIDECTOMIA ABDO
080511;PROTECTOMIA
080512;PROTECTOMIA C/PROSTATECTO
080513;RECTOTOMIA SIGMOIDOTOMIA
080514;PROTOCTOMIA C/DESCOMPRENS
080515;DESCENSO TRANSANAL
080516;OPERAC.PLASTICA E/MALFORM
080517;OPERAC.PLAST.E/MALFOR.CON
080518;PROCTORRAFIA
080519;PROCTOPEXIA PROLAPSO D/RE
080520;CONFEC.O CIERRED/FISTULA
080521;COLOSTOMIA TEMP.O DEFINIT
080522;OPER.PLASTICA E/COLOSTOMI
080523;DRENAJE ABSCESO PERIRRECT
080524;APENDICECTOMIA
080525;EXTRAC.INST.D/FECALOMAS I
080526;EXTRACCION MANUAL DE FECA
080601;ANOPLASTIA
080602;ANOPLASTIA P/ESTENOSIS C/
080603;ESFINTEROPLASTIA TIPO PIC
080604;ESFINTEROPLASTIA TIPO PLI
080605;CERCLAJE DE ANO
080606;HEMORROIDECTOMIA
080607;TROMBECTOMIA INFARTECTOMI
080608;TRAT.QUIRUR.D/PROLAPSO MU
080609;TRAT.D/HEMORROIDES C/LIGA
080610;TRAT.ESCLEROSANTE EN HEMO
080611;FISTULECTOMIA O FISTULOTO
080612;FISURECTOMIA CRIPTECTOMIA
080613;ESFINTEROTOMIA O ESFINT.
080614;ESCIS.LESION DE PIEL PERI
080615;FULGURACION RADICAL CONDI
080616;INCISION O DRENAJE DE ABS
080617;TRAT.RADICAL D/ABSCESO PE
080701;LOBECTOMIA HEPATICA
080702;SEGMENTECTOMIA HEPATICA
080703;HEPATECTOMIA PARCIAL
080704;HEPATOSTOMIA
080705;SUTURA DE HIGADO
080706;BIOPSIA DE HIGADO P/LAPAR
080707;PUNCION DE HIGADO
080708;COLECISTOSTOMIA
080709;COLECISTECTOMIA C/S COLED
080710;SECCION AMPOLLA DE VATER
080711;COLEDOCOTOMIA
080712;ANASTOMOSIS BILIODIGESTIV
080713;ANASTOMOSIS BILIODIG.
080714;OPERAC.REPADORAS VIA BILI
080715;EXTRAC.INSTRUM.COMPLETA
080801;DUODENOPANCREATECTOMIA
