practica;nomenclador;valor
PRUEBA DE TOLERAN.GLUCOSBASAL Y 120 MINUTOS;NBU;8084,98
AGREGACION PLAQUETARIA;NBU;146794,37
ACETONA EN ORINA;NBU;1874,45
AMILASA EN ORINA;NBU;2619,71
AMILASA PANCREATICA EN SUERO;NBU;2619,71
CALCIO-FORFORO-PRODUCTO;NBU;2021,24
CLORO EN ORINA;NBU;2472,92
CO2 EN ORINA;NBU;7791,39
CO2 EN SANGRE;NBU;7791,39
CREATININA EN ORINA;NBU;4844,21
CREATININA Y CALCIO EN ORINA 2HS.;NBU;33875,62
EMBARAZO-PRUEBA DE SOBRECARGA DEGLUCOSA;NBU;2021,24
EMBARAZO-PRUEBA DE TOLERANCIA A LA GLUCOSA;NBU;6199,23
GLUCEMIA POST DESAYUNO DE PRUEBA;NBU;2021,24
GLUCOSA EN ORINA;NBU;2021,24
LIQUIDO PLEURAL(FIS-QUIM-CIT);NBU;33875,62
OSMOLARIDAD URINARIA;NBU;2710,05
PH POTENCIOMETRICO EN ORINA;NBU;5894,35
PORCENTAJE DE SATURACION;NBU;11653,21
POTASIO EN ORINA;NBU;3116,55
SODIO EN ORINA;NBU;3116,55
UREA EN LIQUIDO PERITONEAL;NBU;2235,79
UREA EN ORINA;NBU;2235,79
UREA POST DIALISIS;NBU;2235,79
L PLEURAL CULT. Y ANT.;NBU;33875,62
FISICO QUIM.CAL.URINARIO;NBU;47198,08
FOSFATO EN SUERO;NBU;6127,95
LITIO EN PLASMA;NBU;15731,78
CALCIO EN SANGRE;NBU;5929,55
OXALURIA;NBU;25998,27
HEMOGLOBINURIA;NBU;3586,3
ACIDOS BILIARES;NBU;61357,93
FACTOR XIII SEMI CUANTITATIVO;NBU;26595,42
DOSAJE DE ACIDO METIL-MALONICO EN ORINA;NBU;812077,2
FOSFATASA ACIDA PROSTATICA;NBU;32204,34
HDL COLESTEROL;NBU;8180,16
VLDL COLESTEROL;NBU;4254,48
CREATINFOSFOQUINASA(CPK MB);NBU;14945,11
HEMOGLOBINA GLICOSILADA;NBU;20451,31
APOLIPOPROTEINA A;NBU;24243,56
APOLIPOPROTEINAS B;NBU;24243,56
PROD DE DEGRADACION DE FIBRINOGENO (PDF);NBU;17793,48
TIEMPO DE REPTILASA;NBU;30262,66
TIEMPO DE LISIS DE EUG;NBU;4781,73
DIMERO D;NBU;95318,65
LIPOPROTEINA A;NBU;185570,09
FRUCTOSAMINA;NBU;26171,28
FACTOR XI;NBU;18061,3
FACTOR VII;NBU;15621,59
FACTOR XII;NBU;18061,3
PROTEINA C FUNCIONA;NBU;27995,91
BILIRRUBINA TOTAL NEONATAL;NBU;3932,26
HAPTOGLOBINA;NBU;21781,59
HEPARINEMIA;NBU;13561,32
TEST DE EMBARAZO EN ORINA;NBU;10768,71
RESISTENCIA ALCALINA;NBU;3075,77
FACTOR VIII ANTIGENICO (FVW);NBU;197983,39
ADHESIVIDAD PLAQUETARIA;NBU;19665,48
LIPASA;NBU;7520,41
COFACTOR DE RISTOCETINA;NBU;190275,86
REACCION DE KLEIHAVEN BETKE;NBU;23583,68
HEMOSIDERINA EN ORINA;NBU;3264,08
RESIST.A LA PROTEINA C ACTIVADA (532*6);NBU;48700,46
CALCIO IONICO;NBU;8731,03
SANGRE OCULTA EN MATERIA FECAL SERIADA;NBU;11799,52
ALCOHOLEMIA;NBU;78459,67
"PROTEINA""C""REACTIVA";NBU;8180,16
